ID	daaset	HPVpos_Clusters
SS_INT_0262	BD2	Cl1
SS_INT_0263	BD2	Cl3
SS_INT_0265	BD2	Cl3
SS_INT_0268	BD2	Cl1
SS_INT_0279	BD2	Cl1
SS_INT_0291	BD2	Cl3
SS_INT_0292	BD2	Cl1
SS_INT_0296	BD2	Cl2
SS_INT_0297	BD2	Cl3
SS_INT_0299	BD2	Cl3
SS_INT_0300	BD2	Cl1
SS_INT_0305	BD2	Cl2
SS_INT_0307	BD2	Cl3
SS_INT_0312	BD2	Cl3
SS_INT_0315	BD2	Cl1
SS_INT_0320	BD2	Cl3
SS_INT_0323	BD2	Cl3
SS_INT_0330	BD2	Cl3
SS_INT_0332	BD2	Cl1
SS_INT_0347	BD2	Cl1
SS_INT_0375	BD2	Cl2
SS_INT_0378	BD2	Cl2
SS_INT_0412	BD2	Cl3
SS_INT_0421	BD2	Cl3
SS_INT_0435	BD2	Cl3
SS_INT_0460	BD2	Cl1
SS_INT_0501	BD2	Cl3
SS_INT_0520	BD2	Cl1
SS_INT_MI_0011	BD2	Cl1
SS_INT_MI_0015	BD2	Cl1
SS_INT_MI_0018	BD2	Cl2
SS_INT_MI_0027	BD2	Cl1
SS_INT_MI_0048	BD2	Cl1
SS_INT_MI_0053	BD2	Cl1
SS_INT_MI_0066	BD2	Cl3
SS_INT_MI_0070	BD2	Cl3
SS_INT_MI_0072	BD2	Cl1
SS_INT_MI_0096	BD2	Cl3
SS_INT_MI_0110	BD2	Cl1
SS_INT_MI_0140	BD2	Cl3
SS_INT_MI_0159	BD2	Cl3
SS_INT_MI_0189	BD2	Cl3
SS_INT_MI_0195	BD2	Cl3
SS_INT_MI_0203	BD2	Cl3
SS_INT_MI_0204	BD2	Cl3
SS_INT_MI_0205	BD2	Cl1
SS_INT_MI_0206	BD2	Cl1
SS_INT_MI_0208	BD2	Cl3
SS_INT_MI_0209	BD2	Cl3
SS_INT_MI_0222	BD2	Cl1
SS_INT_MI_0223	BD2	Cl2
SS_MAASTRO_1097	BD2	Cl3
SS_MAASTRO_1336	BD2	Cl3
SS_MAASTRO_1618	BD2	Cl1
SS_MAASTRO_1750	BD2	Cl1
SS_MAASTRO_1836	BD2	Cl2
SS_MAASTRO_2117	BD2	Cl1
SS_MAASTRO_2137	BD2	Cl3
SS_MAASTRO_2276	BD2	Cl1
SS_MAASTRO_2500	BD2	Cl2
SS_MAASTRO_29	BD2	Cl1
SS_MAASTRO_2927	BD2	Cl3
SS_MAASTRO_3005	BD2	Cl1
SS_MAASTRO_3171	BD2	Cl1
SS_MAASTRO_3190	BD2	Cl3
SS_MAASTRO_3290	BD2	Cl1
SS_MAASTRO_3310	BD2	Cl3
SS_MAASTRO_3626	BD2	Cl2
SS_MAASTRO_3686	BD2	Cl2
SS_MAASTRO_382	BD2	Cl1
SS_MAASTRO_3831	BD2	Cl1
SS_MAASTRO_4064	BD2	Cl3
SS_MAASTRO_411	BD2	Cl1
SS_MAASTRO_4749	BD2	Cl3
SS_MAASTRO_4803	BD2	Cl1
SS_MAASTRO_4864	BD2	Cl3
SS_MAASTRO_4904	BD2	Cl1
SS_MAASTRO_5054	BD2	Cl1
SS_MAASTRO_5127	BD2	Cl1
SS_MAASTRO_5473	BD2	Cl3
